CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 148.945312 1573782264.7684
MEM 149.175781 1573782264.8687
MEM 149.425781 1573782264.9690
MEM 149.675781 1573782265.0693
MEM 149.929688 1573782265.1696
MEM 150.175781 1573782265.2699
MEM 150.425781 1573782265.3702
MEM 150.675781 1573782265.4705
MEM 150.925781 1573782265.5708
MEM 151.179688 1573782265.6711
MEM 151.437500 1573782265.7714
MEM 151.695312 1573782265.8717
MEM 151.925781 1573782265.9720
MEM 152.175781 1573782266.0724
MEM 152.429688 1573782266.1726
MEM 152.429688 1573782266.2729
MEM 152.687500 1573782266.3732
MEM 152.925781 1573782266.4735
MEM 153.437500 1573782266.5738
MEM 153.695312 1573782266.6740
MEM 153.953125 1573782266.7743
MEM 154.210938 1573782266.8746
MEM 154.468750 1573782266.9749
MEM 154.929688 1573782267.0751
MEM 155.445312 1573782267.1754
MEM 155.445312 1573782267.2757
MEM 155.675781 1573782267.3760
MEM 155.925781 1573782267.4763
MEM 155.925781 1573782267.5766
MEM 156.175781 1573782267.6769
MEM 156.425781 1573782267.7772
MEM 156.675781 1573782267.8775
MEM 156.925781 1573782267.9778
MEM 157.175781 1573782268.0781
MEM 157.425781 1573782268.1784
MEM 157.425781 1573782268.2787
MEM 157.675781 1573782268.3790
MEM 157.925781 1573782268.4793
MEM 158.175781 1573782268.5796
MEM 158.425781 1573782268.6799
MEM 158.675781 1573782268.7802
MEM 159.175781 1573782268.8806
MEM 159.429688 1573782268.9809
MEM 159.429688 1573782269.0812
MEM 159.429688 1573782269.1815
MEM 159.429688 1573782269.2829
MEM 159.429688 1573782269.3832
MEM 159.429688 1573782269.4835
MEM 159.429688 1573782269.5838
MEM 159.429688 1573782269.6842
MEM 159.687500 1573782269.7845
MEM 159.925781 1573782269.8848
MEM 160.175781 1573782269.9851
MEM 160.429688 1573782270.0854
MEM 160.687500 1573782270.1857
MEM 160.687500 1573782270.2860
MEM 160.945312 1573782270.3863
MEM 161.203125 1573782270.4866
MEM 161.460938 1573782270.5870
MEM 162.175781 1573782270.6873
MEM 162.425781 1573782270.7876
MEM 162.679688 1573782270.8879
MEM 162.925781 1573782270.9882
MEM 163.175781 1573782271.0885
MEM 163.175781 1573782271.1888
MEM 163.679688 1573782271.2891
MEM 163.925781 1573782271.3894
MEM 164.175781 1573782271.4897
MEM 164.425781 1573782271.5901
MEM 164.675781 1573782271.6904
MEM 164.925781 1573782271.7907
MEM 165.437500 1573782271.8910
MEM 165.675781 1573782271.9914
MEM 166.429688 1573782272.0917
MEM 166.429688 1573782272.1920
MEM 166.675781 1573782272.2923
MEM 166.925781 1573782272.3927
MEM 167.175781 1573782272.4930
MEM 167.425781 1573782272.5933
MEM 167.675781 1573782272.6937
MEM 167.929688 1573782272.7939
MEM 168.175781 1573782272.8942
MEM 168.679688 1573782272.9946
MEM 168.925781 1573782273.0949
MEM 169.175781 1573782273.1952
MEM 169.425781 1573782273.2955
MEM 169.675781 1573782273.3958
MEM 170.175781 1573782273.4961
MEM 170.429688 1573782273.5964
MEM 170.675781 1573782273.6967
MEM 170.925781 1573782273.7970
MEM 171.175781 1573782273.8973
MEM 171.425781 1573782273.9976
MEM 171.675781 1573782274.0979
MEM 171.929688 1573782274.1982
MEM 172.429688 1573782274.2985
